,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
122,Hung Mãnh Tiểu Thư,Fantasy,Đang cập nhật,"Action, Fantasy, Romance, ","59,136",4,59136,Chapter 50
123,Wagahai no Kare wa Baka de aru,Comedy,Azumi Saki - Totsuka Masahiro,"Romance, Slice of Life, Seinen, Comedy, ","59,046",4,59046,Chapter 1.1
124,Noenoto,One Shot,Suzumoto Jun,"One Shot, Shoujo, Comedy, Supernatural, ","59,045",4,59045,Noenoto OneShot
125,Nam Thần Cách Vách,Manhua,Đang cập nhật,"Drama, Romance, Harem, Manhua, ","59,044",4,59044,Chapter 122: the end.
126,Giang Hồ Hành,Manhua,,"Action, Manhua, Martial Arts, ","59,039",4,59039,Giang hồ hành chap 9
127,Dragon Who,Romance,Jung Jae - rahn - Ha Yuhn,"Romance, School Life, Comedy, Manhwa, ","59,039",4,59039,Chapter 34
128,Code Leviathan,Drama,Inariya Fusanosuke,"Action, Drama, Shounen, Fantasy, Shoujo Ai, ","59,037",4,59037,Chapter 6
129,Hệ Thống Thần Long Nghịch Thiên,Fantasy,Đang cập nhật,"Action, Fantasy, Manhua, Adventure, ","59,022",4,59022,Chapter 91
130,Shinigami-sama ni Saigo no Onegai wo,Drama,YAMAGUCHI Mikoto,"Mystery, Psychological, Drama, Supernatural, Shounen, ","59,005",4,59005,Shinigami
131,Rừng Đông,Manhwa,Cosmos & Van JI,"Romance, Fantasy, Horror, Supernatural, Manhwa, ","63,907",4,63907,Chapter 65
132,She Becomes A Tree,Seinen,Đang cập nhật,"Romance, Seinen, Webtoon, Slice of Life, Drama, Supernatural, Yuri, Comedy, Manga, ","58,995",4,58995,Chapter 8
133,Âm Mưu Báo Thù,Action,Đang cập nhật,"Action, Drama, Manhwa, ","58,980",4,58980,Chapter 8
134,Thiên Long Bát Bộ,Action,Khưu Phúc Long - Hồ Thiệu Quyền,"Action, ","58,972",4,58972,Chapter 100
135,Thiếu Nữ Trương Phi,Action,Đang cập nhật,"Action, Fantasy, Manhua, ","58,959",4,58959,Chapter 4
136,"17-sai, Kiss to Dilemma",Shoujo,YAGAMI Rina,"Drama, Romance, Shoujo, School Life, ","58,950",4,58950,17
137,Cuộc sống thiên đường bắt đầu với Vua hang động ~ Trở thành người mạnh nhất với kỹ năng khai thác,Fantasy,Naehara,"Action, Fantasy, Manga, Shounen, ","58,946",4,58946,Chapter 1.2
138,Xing Gui Shi Tian Kong De Dao Lu,,Đang cập nhật,", ","58,944",4,58944,Chapter 24
139,Tia sáng cuối cùng ,Comic,Yaoko,"Action, Comic, Magic, ","58,932",4,58932,Thông báo cần biết
140,Ningen Shikkaku,,Đang cập nhật,", ","58,926",4,58926,Chapter 1
141,One step ahead,Romance,Hàu,"Romance, School Life, Comedy, Manhua, ","58,927",4,58927,Chap 11
142,Cereus,Romance,Zushi,"Romance, Drama, Manga, ","58,926",4,58926,Chapter 0
143,Nắm chắc CV đại thần,Manhwa,mieunguyetteam,"Manhwa, ","58,924",4,58924,Chap 3
144,Family Compilation,Comedy,Kamaboko Red,"Gender Bender, Comedy, One Shot, Shounen-ai, ","58,921",4,58921,Family Compilation OneShot
145,Ryouri Danshi No Kakushi Aji,Historical,Đang cập nhật,"Historical, Shoujo Ai, ","58,918",4,58918,Chapter 2
146,Thế Giới Đầu Bếp,Romance,Đang cập nhật,"Romance, Action, Shoujo, Manhua, Historical, ","58,914",4,58914,Chapter 10
147,Bó Tay Với Ai-sensei,School Life,KODAMA Jun,"Romance, School Life, Shoujo, Comedy, ","58,911",4,58911,Chapter 11
148,Thời Khắc Định Mệnh,Fantasy,Đang cập nhật,"Action, Drama, Manhwa, Fantasy, ","58,911",4,58911,Chapter 8
149,Lá Chuông,Drama,Tiểu Vy,"Drama, Romance, Comedy, Xuyên không, ","58,909",4,58909,UwU
150,Trùng Sinh Tám Vạn Năm,Adventure,Chưởng Duyệt,"Mystery, Manhua, Webtoon, Supernatural, Adventure, Comedy, ","58,908",4,58908,Chapter 2
151,"Sobiwaku Zero No Saikyou Kenshi Demo, Noroi No Soubi (kawai) Nara 9999-ko Tsuke-hodai",Action,Đang cập nhật,"Action, Drama, Harem, Adventure, Fantasy, ","58,908",4,58908,Chapter 17
153,Thiếu niên siêu năng lực,Action,mazhengyuan,"Action, Manhua, Horror, Supernatural, Trinh Thám, ","58,910",4,58910,Chap 65
154,365 Ngày Bên Cạnh Sen,Slice of Life,Đậu Rang Muối,"Slice of Life, VnComic, ","58,907",4,58907,Chap 0 : Mở Đầu
155,Hộ Chiếu Xanh,Shounen,Ishiwata Osamu,"Sci-fi, Shounen, ","58,899",4,58899,Hộ Chiếu Xanh tập 12.5
156,Thiên thần ác quỷ,Shoujo,Nhtrang,"Mystery, Shoujo, Comic, ","28,294",4,28294,Chương0 anh ta là ai?
157,Phụ đạo sau giờ học,School Life,Đồng Tiêu Nhóm,"Romance, School Life, Comedy, Manhua, ","58,886",4,58886,Chap 26 
158,Thất Chủng Vũ Khí,Adventure,Mã Vĩnh Thành,"Seinen, Manhua, Shounen, Adventure, Action, Martial Arts, ","58,888",4,58888,Chapter 66
159,Gokiburi Gijinka - Bé gián MOE,Slice of Life,Rui Tamiti,"Slice of Life, Seinen, Comedy, Adventure, ","58,881",4,58881,Gokiburi gijinka 
160,XxxHolic Rou : Oneshot ( Special Edition ),Shounen,CLAMP,"Mystery, Fantasy, Shounen, ","58,879",4,58879,Chapter 1: Oneshot
161,Chuyện lạ ly kỳ,Manhua,comicool,"Horror, Manhua, ","58,874",4,58874,Chap 37
162,Mơ Tường Nguyên Chế Hấp Dẫn Khác Giới Tại Dị Giới,Comedy,Đang cập nhật,"Mystery, Harem, Romance, Fantasy, Adventure, Action, Comedy, ","58,871",4,58871,Chapter 3
163,Vanilla,Drama,,"Drama, Slice of Life, One Shot, Romance, Shounen-ai, Manga, ","58,866",4,58866,Vanilla OneShot
164,Đừng lại gần giới hạn 10M của tôi,Đam Mỹ,Deung Bul,"Romance, School Life, Soft Yaoi, Đam Mỹ, Comedy, ","58,875",4,58875,Chapter 68
165,school shock,Action,sun heng,"Manhua, Sci-fi, School Life, Romance, Mecha, Fantasy, Action, Comedy, ","58,858",4,58858,Chapter 10
166,I Want To Lock You Up,One Shot,Kokuroichi,"Soft Yuri, One Shot, ","58,863",4,58863,I Want To Lock You Up OneShot
167,Infinitively Maximum,Shounen,Kiên Biu,"Action, School Life, Seinen, VnComic, Shounen, ","58,848",4,58848,Infinitively maximum chương 4
168,Tân Nương của Quỷ Vương Điện Hạ,Comic,Hoa Hải Đường,"Romance, Comic, ","58,849",4,58849,Drop vì lí do bản quyền
169,Aisareru yori ￮-saretai,School Life,Đang cập nhật,"Drama, Romance, School Life, Shounen, ","58,840",4,58840,Chapter 12
170,Tsundere Akuyaku Reijou Liselotte To Jikkyou No Endo-kun To Kaisetsu No Kobayashi-san,Adventure,Enoshima,"Drama, Fantasy, Romance, School Life, Shoujo, Supernatural, Adventure, ","58,838",4,58838,Chapter 6.2
171,Fizon Core,School Life,Satou Mahiro,"Action, School Life, Comedy, One Shot, Manga, ","58,836",4,58836,Chapter 1: Oneshot
172,Elf & Warrior,Fantasy,Đang cập nhật,"Fantasy, Adventure, Manhwa, ","58,828",4,58828,Chapter 4
173,On the dawns horizon,Comedy,Đang cập nhật,"Drama, Comedy, Tragedy, Doujinshi, ","58,825",4,58825,Chapter 2
174,"Mylord, Nữ Hoàng Của Loài Sói!",Webtoon,RoseCat Group,"Manhwa, Supernatural, Webtoon, Historical, ","80,586",4,80586,Chapter 1
175,Summer Splash - Oneshot,One Shot,Kodama Naoko,"One Shot, Yuri, Shoujo Ai, ","58,814",4,58814,Chapter 1: One shot
176,Sen-mairu,Shoujo,Đang cập nhật,"Shoujo, ","58,809",4,58809,Chapter 4: Đội quân....???
177,Nước Nhật Vui Vẻ,Shoujo,Watase Yuu,"Romance, Shoujo, Adventure, Historical, Action, Comedy, ","58,808",4,58808,Nước nhật vui vẻ chap 12
178,Yurigurashi! ,Yuri,Team Dora-P,"Slice of Life, Comedy, Yuri, ","58,807",4,58807,Tuyển nhân sự
179,Đôi Mắt,Romance,,"Romance, Shoujo, Manhua, ","58,798",4,58798,Đôi mắt 
180,Fortune Arterials,Comedy,Kodama Miki - August Soft,"School Life, Comedy, Manga, ","58,799",4,58799,Chapter 25
181,Spicy Recipe,Shoujo,AMANO Maron,"Romance, School Life, Shoujo, One Shot, ","58,792",4,58792,Chapter 0
182,Soukai Kessen,Fantasy,Nanto Hanamaru,"Action, Fantasy, Manga, Historical, Shounen, ","58,792",4,58792,Soukai kessen chap 59
183,The Sacred Blacksmith,Fantasy,Miura Isao,"Seinen, Shounen, Romance, Fantasy, Supernatural, Adventure, Action, Comedy, ","58,785",4,58785,The sacred blacksmith chap 2b
184,Hoàng Tử Tuấn Tú,Shoujo,KAUTA Mato,"Romance, Shoujo, Comedy, Manhwa, ","58,778",4,58778,Chapter 5
185,Kanojo no Kagi wo Akeru Houhou,Shoujo,Nakata Yumi,"Fantasy, Slice of Life, School Life, Shoujo, Comedy, Manga, ","58,777",4,58777,Chapter 32
186,Tiểu thư à anh lỡ yêu em mất rồi,School Life,Thanh ngân 2k8❤,"School Life, ","58,772",4,58772,Chap 3 
187,Kimi No Namida Wo Nomihoshitai,Comedy,Đang cập nhật,"Slice of Life, Shounen, Romance, School Life, Comedy, Manga, ","58,761",4,58761,Chapter 9
